Constituent,Site Code,Constituent Abbrev,Visit Datetime,E coli bacteria,Latitude,Longitude,Result
Escherichia coli,BPO1,Ecoli,10/4/2017 9:31:01 AM,All Okay,45.2811,-70.593507,1
Escherichia coli,LAS5,Ecoli,10/4/2017 8:34:34 AM,All Okay,45.274099,-70.649225,15
Escherichia coli,LAS1,Ecoli,10/4/2017 9:00:29 AM,All Okay,45.265998,-70.626362,6
Escherichia coli,NBAS9,Ecoli,10/4/2017 10:25:06 AM,All Okay,45.238466,-70.673445,58
Escherichia coli,AS7,Ecoli,10/18/2017 10:20:17 AM,All Okay,45.229851,-70.647701,54
Escherichia coli,LAS5,Ecoli,10/18/2017 11:55:00 AM,All Okay,45.274099,-70.649225,8
Escherichia coli,LAS1,Ecoli,10/18/2017 12:11:32 PM,All Okay,45.265998,-70.626362,4
Escherichia coli,BPO1,Ecoli,10/18/2017 12:28:11 PM,All Okay,45.2811,-70.593507,4
Escherichia coli,NBDR,Ecoli,10/4/2017 7:50:15 AM,All Okay,45.30142,-70.603495,13
Escherichia coli,NBDR,Ecoli,10/18/2017 11:08:28 AM,All Okay,45.30142,-70.603495,16
Escherichia coli,NBDR,Ecoli,10/4/2017 7:50:15 AM,All Okay,45.30142,-70.603495,12
Escherichia coli,NBDR,Ecoli,10/4/2017 7:50:15 AM,All Okay,45.30142,-70.603495,11
Escherichia coli,NBDR,Ecoli,10/18/2017 11:08:28 AM,All Okay,45.30142,-70.603495,5
Escherichia coli,NBDR,Ecoli,10/18/2017 11:08:28 AM,All Okay,45.30142,-70.603495,11
Escherichia coli,NBAS9,Ecoli,10/18/2017 9:58:22 AM,All Okay,45.238466,-70.673445,59
Escherichia coli,AS7,Ecoli,10/4/2017 10:47:43 AM,All Okay,45.229851,-70.647701,46
Escherichia coli,AS7,Ecoli,7/25/2017 10:10:14 AM,All Okay,45.229851,-70.647701,91
Escherichia coli,NBDR,Ecoli,9/20/2017 11:27:40 AM,All Okay,45.30142,-70.603495,18
Escherichia coli,LAS5,Ecoli,9/20/2017 11:48:33 AM,All Okay,45.274099,-70.649225,6
Escherichia coli,BPO1,Ecoli,6/13/2017 9:11:57 AM,All Okay,45.2811,-70.593507,2
Escherichia coli,AS7,Ecoli,6/13/2017 10:21:26 AM,All Okay,45.229851,-70.647701,105
Escherichia coli,LAS1,Ecoli,7/12/2017 9:37:25 AM,All Okay,45.265998,-70.626362,16
Escherichia coli,AS7,Ecoli,7/12/2017 10:50:25 AM,All Okay,45.229851,-70.647701,142
Escherichia coli,LAS5,Ecoli,7/12/2017 9:18:56 AM,All Okay,45.274099,-70.649225,4
Escherichia coli,BPO1,Ecoli,7/12/2017 9:55:08 AM,All Okay,45.2811,-70.593507,3
Escherichia coli,NBAS9,Ecoli,7/12/2017 10:35:26 AM,All Okay,45.238466,-70.673445,23
Escherichia coli,LAS1,Ecoli,9/7/2017 11:37:14 AM,All Okay,45.265998,-70.626362,129
Escherichia coli,NBDR,Ecoli,6/13/2017 7:53:00 AM,All Okay,45.30142,-70.603495,6
Escherichia coli,NBDR,Ecoli,6/13/2017 7:53:00 AM,All Okay,45.30142,-70.603495,4
Escherichia coli,NBDR,Ecoli,6/13/2017 7:53:00 AM,All Okay,45.30142,-70.603495,6
Escherichia coli,LAS5,Ecoli,6/13/2017 8:33:32 AM,All Okay,45.274099,-70.649225,10
Escherichia coli,LAS1,Ecoli,6/13/2017 8:52:47 AM,All Okay,45.265998,-70.626362,28
Escherichia coli,AS7,Ecoli,6/27/2017 10:23:54 AM,All Okay,45.229851,-70.647701,43
Escherichia coli,AS7,Ecoli,8/23/2017 10:42:15 AM,At least 1 Violation,45.229851,-70.647701,1300
Escherichia coli,LAS1,Ecoli,6/27/2017 9:10:29 AM,All Okay,45.265998,-70.626362,13
Escherichia coli,BPO1,Ecoli,6/27/2017 9:27:42 AM,All Okay,45.2811,-70.593507,6
Escherichia coli,NBAS9,Ecoli,6/27/2017 10:08:37 AM,All Okay,45.238466,-70.673445,16
Escherichia coli,LAS1,Ecoli,8/23/2017 12:01:50 PM,All Okay,45.265998,-70.626362,107
Escherichia coli,NBAS9,Ecoli,6/13/2017 10:00:53 AM,All Okay,45.238466,-70.673445,4
Escherichia coli,NBAS9,Ecoli,8/23/2017 10:22:32 AM,At least 1 Violation,45.238466,-70.673445,411
Escherichia coli,LAS5,Ecoli,8/23/2017 11:47:36 AM,All Okay,45.274099,-70.649225,91
Escherichia coli,BPO1,Ecoli,8/23/2017 12:19:56 PM,All Okay,45.2811,-70.593507,179
Escherichia coli,NBDR,Ecoli,8/23/2017 11:25:35 AM,All Okay,45.30142,-70.603495,133
Escherichia coli,NBDR,Ecoli,7/12/2017 8:50:47 AM,All Okay,45.30142,-70.603495,25
Escherichia coli,NBDR,Ecoli,8/23/2017 11:25:35 AM,All Okay,45.30142,-70.603495,101
Escherichia coli,NBDR,Ecoli,8/23/2017 11:25:35 AM,All Okay,45.30142,-70.603495,138
Escherichia coli,NBDR,Ecoli,7/12/2017 8:50:47 AM,All Okay,45.30142,-70.603495,29
Escherichia coli,NBDR,Ecoli,7/12/2017 8:50:47 AM,All Okay,45.30142,-70.603495,26
Escherichia coli,AS7,Ecoli,9/20/2017 10:47:28 AM,All Okay,45.229851,-70.647701,37
Escherichia coli,AS7,Ecoli,8/10/2017 9:44:47 AM,All Okay,45.229851,-70.647701,47
Escherichia coli,LAS5,Ecoli,8/10/2017 11:06:29 AM,All Okay,45.274099,-70.649225,14
Escherichia coli,LAS1,Ecoli,8/10/2017 11:20:23 AM,All Okay,45.265998,-70.626362,7
Escherichia coli,BPO1,Ecoli,8/10/2017 11:35:05 AM,All Okay,45.2811,-70.593507,17
Escherichia coli,AS7,Ecoli,9/7/2017 10:15:06 AM,At least 1 Violation,45.229851,-70.647701,292
Escherichia coli,LAS5,Ecoli,7/25/2017 8:20:38 AM,All Okay,45.274099,-70.649225,16
Escherichia coli,BPO1,Ecoli,7/25/2017 9:01:39 AM,At least 1 Violation,45.2811,-70.593507,411
Escherichia coli,NBAS9,Ecoli,7/25/2017 9:51:18 AM,All Okay,45.238466,-70.673445,50
Escherichia coli,BPO1,Ecoli,9/20/2017 12:20:14 PM,All Okay,45.2811,-70.593507,23
Escherichia coli,NBAS9,Ecoli,8/10/2017 9:26:35 AM,All Okay,45.238466,-70.673445,20
Escherichia coli,LAS5,Ecoli,9/7/2017 11:21:30 AM,All Okay,45.274099,-70.649225,75
Escherichia coli,BPO1,Ecoli,9/7/2017 11:58:24 AM,All Okay,45.2811,-70.593507,126
Escherichia coli,NBDR,Ecoli,8/10/2017 11:51:52 AM,All Okay,45.30142,-70.603495,26
Escherichia coli,NBDR,Ecoli,7/25/2017 7:50:25 AM,All Okay,45.30142,-70.603495,17
Escherichia coli,NBAS9,Ecoli,9/20/2017 10:28:09 AM,All Okay,45.238466,-70.673445,61
Escherichia coli,NBDR,Ecoli,8/10/2017 11:51:52 AM,All Okay,45.30142,-70.603495,38
Escherichia coli,NBDR,Ecoli,8/10/2017 11:51:52 AM,All Okay,45.30142,-70.603495,38
Escherichia coli,NBDR,Ecoli,7/25/2017 7:50:25 AM,All Okay,45.30142,-70.603495,28
